priority,category,case_id,decision_id,document_id,page,risk_reason,evidence_quote
P0_BLOCKER,SYSTEMIC_TRACEABILITY_FAILURE,,,,,"All 8,217 evidence spans have invalid exact-offset traceability; all file_path values are empty.",
P0_BLOCKER,SYSTEMIC_ORIGINAL_FILE_LINKAGE_FAILURE,,,,,"All 3,964 original_file_path values are the literal string None.",
P0_BLOCKER,SYSTEMIC_VOTE_EXTRACTION_FAILURE,,,,,"All 8,217 identifiable vote rows are labeled majority/A_FAVOR; 40 decision texts contain dissent language but zero dissent rows were extracted.",
P0_BLOCKER,SYSTEMIC_ORGAN_RECONSTRUCTION_FAILURE,,,,,"1,370 decisions report fewer present members than votes cast; 1,852 of 1,853 decisions are marked quorum invalid.",
P0_BLOCKER,SYSTEMIC_DICTAMEN_LINK_FAILURE,,,,,"198 of 748 links are prior-dated or malformed; existing links are many-to-many same-case pairings, not verified subsequent resolution links.",
P0_BLOCKER,REPRODUCIBILITY_FAILURE,,,,,"No generation pipeline, dependency lock, or executable analysis script accompanies the derived artifacts.",
P0_CRITICAL,DECISIVENESS_CASE_REQUIRES_SOURCE_RECONSTRUCTION,181/2020,DEC_AU_592_2021_48fe8ea5,48fe8ea5d26d91e9df96da3b8b304f0c4ba00720,,"Text identifies at least seven aligned voters; removing Rivas still leaves at least six, above the five-vote threshold under Law 3759/2009.",
P0_CRITICAL,DECISIVENESS_CASE_REQUIRES_SOURCE_RECONSTRUCTION,148/1/2016,DEC_AU_710_2021_a50d7c40,a50d7c40a0354665dda5c56bb1a72ba25ecc2931,,Text identifies Ramirez Candia plus five adherents (six aligned voters); removing Rivas leaves five.,
P0_CRITICAL,DECISIVENESS_CASE_REQUIRES_SOURCE_RECONSTRUCTION,81/2022,DEC_AU_402_2022_e2758b35,e2758b35f6d2459250e7d607939bcc41661710f5,,Signed PDF and text identify six aligned voters; Law 6814/2021 applies simple majority to non-final resolutions.,
P0_CRITICAL,DECISIVENESS_CASE_REQUIRES_SOURCE_RECONSTRUCTION,122/2022,DEC_AU_5_2023_df6f449a,df6f449a2ec06133935f5f7404a566416ec3f4bd,,Signed PDF and text identify six aligned voters; Law 6814/2021 applies simple majority to non-final resolutions.,
P0_CRITICAL,EXPLICIT_RIVAS_VOTE_MISSING_FROM_DERIVED_DATA,311/2021,DEC_SE_35_2022_89bc46b9,89bc46b9aa5a2dae524d887964f33fafcedff5e1,,"The text explicitly records Rivas voting for absolution, while the dataset labels his vote NO_DETERMINABLE and records only one vote cast.","A su turno, el Miembro Hernán David Rivas dijo: Yo me adhiero al voto del
preopinante en este caso a la preopinión del senador Fernando Silva, por la absolución.
ES MI VOTO.
A su turno, el Miembro Oscar Paciello dijo: Me"
